timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1438459674,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438469776,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438479879,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438489976,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438500072,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438510324,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438520452,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438530554,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438540656,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438550756,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438560860,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438570969,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438581077,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438591287,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438601413,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438611521,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438621633,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438631745,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438641850,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438651965,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438662073,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438672283,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438682393,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438692502,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438702613,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438712720,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438722826,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438732937,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438743041,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438753184,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438763457,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438773553,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438783651,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438803852,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438813948,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438824048,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438834174,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438844337,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438854512,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438864614,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438874700,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438884803,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438894918,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438905029,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438915129,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438925241,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438935375,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438945481,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
