timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1437710215,1437709118,-0.0127202,0.00232875,-2.77218e-05,0.08,0.0,0.0,0.0,-1.0
1437713261,1437712411,-0.0127458,0.00295485,-4.69679e-05,0.08,0.0,0.0,0.0,-1.0
1437717120,1437716231,-0.0130368,0.00211276,-7.35006e-05,0.08,0.0,0.0,0.0,-1.0
1437720193,1437719144,-0.0125158,0.00288129,2.30087e-06,0.08,0.0,0.0,0.0,-1.0
1437724171,1437723161,-0.0126779,0.00228904,-2.79082e-05,0.08,0.0,0.0,0.0,-1.0
1437727246,1437726111,-0.0129038,0.00233935,-5.00108e-05,0.08,0.0,0.0,0.0,-1.0
1437731259,1437730186,-0.0129462,0.00194907,2.65545e-05,0.08,0.0,0.0,0.0,-1.0
1437734188,1437733073,-0.0124753,0.00208199,1.00345e-05,0.08,0.0,0.0,0.0,-1.0
1437738195,1437737106,-0.0126857,0.00200548,-2.58212e-05,0.08,0.0,0.0,0.0,-1.0
1437741201,1437740118,-0.0125388,0.00323634,-1.31143e-05,0.08,0.0,0.0,0.0,-1.0
1437744203,1437743072,-0.0128451,0.002005,-5.44004e-05,0.08,0.0,0.0,0.0,-1.0
1437748097,1437747373,-0.0127222,0.00233378,-2.04336e-05,0.08,0.0,0.0,0.0,-1.0
1437752155,1437751106,-0.0129816,0.00174191,-1.8216e-05,0.08,0.0,0.0,0.0,-1.0
1437755137,1437754204,-0.0125967,0.00172863,-3.30446e-06,0.08,0.0,0.0,0.0,-1.0
1437759266,1437758303,-0.0127526,0.0021561,-5.48344e-06,0.08,0.0,0.0,0.0,-1.0
1437762280,1437761198,-0.012634,0.00243037,-4.93327e-06,0.08,0.0,0.0,0.0,-1.0
1437766231,1437765206,-0.012756,0.00224958,-2.43706e-05,0.08,0.0,0.0,0.0,-1.0
1437769222,1437768067,-0.0127311,0.00222345,-7.50808e-06,0.08,0.0,0.0,0.0,-1.0
1437773262,1437772108,-0.012848,0.00158525,-4.95111e-05,0.08,0.0,0.0,0.0,-1.0
1437776219,1437775120,-0.0125964,0.00222018,-3.58443e-05,0.08,0.0,0.0,0.0,-1.0
1437780197,1437779102,-0.0131021,0.00211254,-1.835e-05,0.08,0.0,0.0,0.0,-1.0
1437783258,1437782049,-0.0125755,0.00212648,-4.15614e-05,0.08,0.0,0.0,0.0,-1.0
1437787101,1437786196,-0.0129641,0.00146,3.87373e-05,0.08,0.0,0.0,0.0,-1.0
1437790181,1437789163,-0.012402,0.00192044,-1.89649e-05,0.08,0.0,0.0,0.0,-1.0
