timestamp,roll,pitch,yaw,thrust
1437968235,0.0,0.0,1.02228e-08,0.08
1437972159,0.0,0.0,1.02228e-08,0.08
1437976186,0.0,0.0,1.02228e-08,0.08
1437978195,0.0,0.0,1.02228e-08,0.08
1437983183,0.0,0.0,1.02228e-08,0.08
1437986140,0.0,0.0,1.02228e-08,0.08
1437990105,0.0,0.0,1.02228e-08,0.08
1437993214,0.0,0.0,1.02228e-08,0.08
1437996190,0.0,0.0,1.02228e-08,0.08
1438000310,0.0,0.0,1.02228e-08,0.08
1438003288,0.0,0.0,1.02228e-08,0.08
1438007179,0.0,0.0,1.02228e-08,0.08
1438011187,0.0,0.0,1.02228e-08,0.08
1438014214,0.0,0.0,1.02228e-08,0.08
1438018283,0.0,0.0,1.02228e-08,0.08
1438021199,0.0,0.0,1.02228e-08,0.08
1438024225,0.0,0.0,1.02228e-08,0.08
1438028170,0.0,0.0,1.02228e-08,0.08
1438032233,0.0,0.0,1.02228e-08,0.08
1438035220,0.0,0.0,1.02228e-08,0.08
1438039150,0.0,0.0,1.02228e-08,0.08
1438042160,0.0,0.0,1.02228e-08,0.08
1438045225,0.0,0.0,1.02228e-08,0.08
1438049210,0.0,0.0,1.02228e-08,0.08
1438053107,0.0,0.0,1.02228e-08,0.08
1438056177,0.0,0.0,1.02228e-08,0.08
1438060272,0.0,0.0,1.02228e-08,0.08
1438063112,0.0,0.0,1.02228e-08,0.08
1438067179,0.0,0.0,1.02228e-08,0.08
1438070165,0.0,0.0,1.02228e-08,0.08
1438074113,0.0,0.0,1.02228e-08,0.08
1438077219,0.0,0.0,1.02228e-08,0.08
1438081200,0.0,0.0,1.02228e-08,0.08
1438084176,0.0,0.0,1.02228e-08,0.08
1438087195,0.0,0.0,1.02228e-08,0.08
1438091209,0.0,0.0,1.02228e-08,0.08
1438095208,0.0,0.0,1.02228e-08,0.08
1438098266,0.0,0.0,1.02228e-08,0.08
1438101238,0.0,0.0,1.02228e-08,0.08
1438104093,0.0,0.0,1.02228e-08,0.08
1438108149,0.0,0.0,1.02228e-08,0.08
1438111131,0.0,0.0,1.02228e-08,0.08
1438114213,0.0,0.0,1.02228e-08,0.08
1438117255,0.0,0.0,1.02228e-08,0.08
1438121138,0.0,0.0,1.02228e-08,0.08
1438129188,0.0,0.0,1.02228e-08,0.08
1438132113,0.0,0.0,1.02228e-08,0.08
1438137240,0.0,0.0,1.02228e-08,0.08
1438140151,0.0,0.0,1.02228e-08,0.08
1438144159,0.0,0.0,1.02228e-08,0.08
1438147114,0.0,0.0,1.02228e-08,0.08
1438151084,0.0,0.0,1.02228e-08,0.08
1438154347,0.0,0.0,1.02228e-08,0.08
1438158252,0.0,0.0,1.02228e-08,0.08
1438162120,0.0,0.0,1.02228e-08,0.08
1438165261,0.0,0.0,1.02228e-08,0.08
1438168181,0.0,0.0,1.02228e-08,0.08
1438171174,0.0,0.0,1.02228e-08,0.08
1438175310,0.0,0.0,1.02228e-08,0.08
1438177083,0.0,0.0,1.02228e-08,0.08
1438182147,0.0,0.0,1.02228e-08,0.08
1438186147,0.0,0.0,1.02228e-08,0.08
1438189085,0.0,0.0,1.02228e-08,0.08
1438193125,0.0,0.0,1.02228e-08,0.08
1438195189,0.0,0.0,1.02228e-08,0.08
1438200181,0.0,0.0,1.02228e-08,0.08
1438203228,0.0,0.0,1.02228e-08,0.08
1438207167,0.0,0.0,1.02228e-08,0.08
1438210173,0.0,0.0,1.02228e-08,0.08
1438214114,0.0,0.0,1.02228e-08,0.08
1438217181,0.0,0.0,1.02228e-08,0.08
1438221159,0.0,0.0,1.02228e-08,0.08
1438224297,0.0,0.0,1.02228e-08,0.08
1438228158,0.0,0.0,1.02228e-08,0.08
1438231227,0.0,0.0,1.02228e-08,0.08
1438235190,0.0,0.0,1.02228e-08,0.08
1438238181,0.0,0.0,1.02228e-08,0.08
1438242194,0.0,0.0,1.02228e-08,0.08
1438245291,0.0,0.0,1.02228e-08,0.08
1438249204,0.0,0.0,1.02228e-08,0.08
1438252198,0.0,0.0,1.02228e-08,0.08
1438256158,0.0,0.0,1.02228e-08,0.08
1438259155,0.0,0.0,1.02228e-08,0.08
1438263233,0.0,0.0,1.02228e-08,0.08
1438266100,0.0,0.0,1.02228e-08,0.08
1438270134,0.0,0.0,1.02228e-08,0.08
