timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1438087143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00830102,0.0030766,0.459806,0.0,0.0,0.0,0.0,-0.00312049,-0.00160989,0.00740055,0.0,0.0,0.0,0.0,0,0
1438104043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00829518,0.00306192,0.459807,0.0,0.0,0.0,0.0,0.0060913,-2.26072e-05,0.00628881,0.0,0.0,0.0,0.0,0,0
1438129143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00825923,0.00306267,0.459808,0.0,0.0,0.0,0.0,-0.00127543,0.0038601,-0.00162682,0.0,0.0,0.0,0.0,0,0
1438151031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887974,0.00824563,0.00306382,0.45981,0.0,0.0,0.0,0.0,0.00302413,-0.00131145,0.00132201,0.0,0.0,0.0,0.0,0,0
1438171122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887974,0.00822433,0.00306624,0.45981,0.0,0.0,0.0,0.0,-0.0026939,0.00594629,-0.0029406,0.0,0.0,0.0,0.0,0,0
1438193078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887978,0.00822128,0.00307013,0.459801,0.0,0.0,0.0,0.0,0.000212431,0.00165672,0.00441656,0.0,0.0,0.0,0.0,0,0
1438214062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00821239,0.00306351,0.459808,0.0,0.0,0.0,0.0,0.00272118,-0.00113012,0.0025933,0.0,0.0,0.0,0.0,0,0
1438234166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.0081838,0.00304988,0.459808,0.0,0.0,0.0,0.0,0.00274677,0.00170664,0.00362453,0.0,0.0,0.0,0.0,0,0
1438256105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88798,0.00817169,0.00305578,0.459799,0.0,0.0,0.0,0.0,0.00426694,0.00590064,0.00673519,0.0,0.0,0.0,0.0,0,0
1438277122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88798,0.00815585,0.00305531,0.459799,0.0,0.0,0.0,0.0,0.00333501,0.00634807,0.00273993,0.0,0.0,0.0,0.0,0,0
1438297084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887977,0.00814129,0.0030488,0.459806,0.0,0.0,0.0,0.0,0.00523043,-0.00296553,0.00827155,0.0,0.0,0.0,0.0,0,0
1438318094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887982,0.00812635,0.00304975,0.459796,0.0,0.0,0.0,0.0,0.0035353,-0.0015359,0.00796686,0.0,0.0,0.0,0.0,0,0
1438340185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887978,0.00810776,0.00303777,0.459804,0.0,0.0,0.0,0.0,0.0075618,-0.00246861,0.00407111,0.0,0.0,0.0,0.0,0,0
