timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1443327146,4,-0.941747,-0.757225,-0.867592,-0.793437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443379302,4,-0.22557,-0.45347,-0.237566,-0.648051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443432171,4,-0.441017,-0.354151,-0.476592,-0.427483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443484235,4,-0.325409,-0.527221,-0.494469,-0.352756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443537215,4,-0.511974,-0.326662,-0.492672,-0.298585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443589205,4,-0.440756,-0.32198,-0.392447,-0.311218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443634138,4,-0.409958,-0.253363,-0.233095,-0.402829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443694328,4,-0.336328,-0.190554,-0.291915,-0.270043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443746389,4,-0.195244,-0.230887,-0.18532,-0.328794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443799174,4,-0.12862,-0.222296,-0.200205,-0.282831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443852150,4,-0.228572,-0.0967579,-0.207275,-0.291797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443904316,4,-0.135207,-0.181814,-0.127085,-0.390925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443956186,4,-0.200854,-0.138779,-0.187548,-0.369294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444009163,4,-0.15059,-0.223758,-0.289259,-0.323066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444062116,4,-0.153015,-0.28766,-0.360146,-0.305972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444114389,4,-0.30935,-0.196793,-0.262719,-0.460836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444167260,4,-0.274521,-0.308704,-0.489513,-0.284837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444219195,4,-0.52121,-0.166301,-0.292035,-0.537347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444272219,4,-0.506396,-0.276317,-0.346314,-0.558362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444324155,4,-0.392376,-0.471692,-0.509728,-0.489169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444377218,4,-0.360672,-0.562491,-0.493582,-0.548833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444429230,4,-0.48394,-0.487277,-0.483274,-0.581244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444478230,4,-0.519016,-0.476421,-0.618926,-0.467892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444534236,4,-0.452901,-0.539684,-0.575633,-0.514131,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444587191,4,-0.523753,-0.417678,-0.540534,-0.578146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444639171,4,-0.421069,-0.504062,-0.70536,-0.430301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444691097,4,-0.506411,-0.365746,-0.525995,-0.606444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444744221,4,-0.4366,-0.405016,-0.475104,-0.654871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444797183,4,-0.325647,-0.490811,-0.553394,-0.566011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444849267,4,-0.426107,-0.412561,-0.485417,-0.598993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444902259,4,-0.502261,-0.357473,-0.477808,-0.595709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1444954356,4,-0.373479,-0.576105,-0.578855,-0.468906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445007210,4,-0.331362,-0.697573,-0.407082,-0.588291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445059247,4,-0.446858,-0.613935,-0.393911,-0.573231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445109208,4,-0.411373,-0.653073,-0.467255,-0.492827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445164142,4,-0.574211,-0.438115,-0.435205,-0.511839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445217155,4,-0.568922,-0.344325,-0.476038,-0.452255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445269189,4,-0.378339,-0.489643,-0.359701,-0.483665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445322193,4,-0.402869,-0.405518,-0.331663,-0.422804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445374259,4,-0.253167,-0.520981,-0.432855,-0.214329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445425362,4,-0.303322,-0.411276,-0.280808,-0.309562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445479178,4,-0.376676,-0.29104,-0.272078,-0.258789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445531198,4,-0.357121,-0.253167,-0.263726,-0.237409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445584210,4,-0.218907,-0.36427,-0.266904,-0.203612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445635162,4,-0.229429,-0.338065,-0.318151,-0.169864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445689185,4,-0.282208,-0.291254,-0.233299,-0.261612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445741209,4,-0.322224,-0.224651,-0.262143,-0.252753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445794142,4,-0.207316,-0.348083,-0.234704,-0.285244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445846201,4,-0.317318,-0.30616,-0.253541,-0.272484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445899194,4,-0.300341,-0.358071,-0.354028,-0.203937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1445951223,4,-0.428456,-0.318886,-0.386947,-0.236129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446004229,4,-0.432402,-0.365269,-0.305631,-0.414276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446057334,4,-0.335795,-0.44179,-0.351178,-0.522987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446109207,4,-0.157587,-0.557891,-0.460958,-0.520377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446162207,4,-0.335066,-0.381011,-0.554573,-0.50978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
