timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1456599093,-8.9153,-12.0164,0.574344,0.981236,0.0627232,-0.112267,1.0,-0.0043769,-0.0931822,-2.77519
1456609372,-8.9153,-12.0164,0.576264,0.981236,0.0623817,-0.112495,1.0,-0.00523551,-0.092564,-2.7662
1456619537,-8.9153,-12.0164,0.578225,0.981236,0.0620556,-0.112755,1.0,-0.00450791,-0.0944659,-2.77693
1456629708,-8.9153,-12.0164,0.580166,0.981236,0.0617542,-0.113035,1.0,-0.000941145,-0.0986148,-2.77778
1456639869,-8.9153,-12.0164,0.582188,0.981236,0.06147,-0.113342,1.0,-0.00054754,-0.100863,-2.78602
1456650029,-8.9153,-12.0164,0.584168,0.981236,0.0611458,-0.113655,1.0,-0.00330716,-0.102693,-2.78983
1456660197,-8.9153,-12.0164,0.586231,0.981236,0.0607891,-0.113956,1.0,-0.007717,-0.102218,-2.79273
1456670460,-8.9153,-12.0164,0.588249,0.981236,0.0603943,-0.114235,1.0,-0.0119209,-0.0985065,-2.79365
1456680623,-8.9153,-12.0164,0.590327,0.981236,0.0599556,-0.114479,1.0,-0.0180152,-0.0961944,-2.79657
1456690784,-8.9153,-12.0164,0.592386,0.981236,0.059473,-0.114723,1.0,-0.0226791,-0.0948766,-2.80272
1456700956,-8.9153,-12.0164,0.594963,0.981236,0.0579586,-0.115862,1.0,-0.0295612,-0.0964544,-2.79686
1456711107,-8.9153,-12.0164,0.597057,0.981236,0.0573978,-0.116085,1.0,-0.0341759,-0.0947165,-2.80088
1456721291,-8.9153,-12.0164,0.59914,0.981236,0.0568333,-0.116329,1.0,-0.0349107,-0.0954963,-2.80443
1456731557,-8.9153,-12.0164,0.601225,0.981236,0.0562668,-0.116564,1.0,-0.0354013,-0.0957811,-2.79451
1456741709,-8.9153,-12.0164,0.603348,0.981236,0.0557213,-0.116823,1.0,-0.034127,-0.0975066,-2.81009
1456751878,-8.9153,-12.0164,0.60547,0.981236,0.0551987,-0.117104,1.0,-0.0311663,-0.10112,-2.80624
1456762046,-8.9153,-12.0164,0.60763,0.981236,0.0547218,-0.11743,1.0,-0.026706,-0.105323,-2.81591
1456772224,-8.9153,-12.0164,0.609777,0.981236,0.0542412,-0.117722,1.0,-0.0260325,-0.104407,-2.81151
1456782381,-8.9153,-12.0164,0.611932,0.981236,0.053688,-0.11797,1.0,-0.0348375,-0.0981426,-2.81485
1456792577,-8.9153,-12.0164,0.614066,0.981236,0.0530148,-0.118179,1.0,-0.0472891,-0.0939342,-2.8083
1456802734,-8.9153,-12.0164,0.61417,0.981236,0.051754,-0.116741,1.0,-0.0593398,-0.0835447,-2.79121
1456812906,-8.9153,-12.0164,0.616159,0.981236,0.0509415,-0.116842,1.0,-0.0662623,-0.0798031,-2.77384
1456823072,-8.9153,-12.0164,0.618162,0.981236,0.0501347,-0.116934,1.0,-0.0686762,-0.0782988,-2.77213
1456833340,-8.9153,-12.0164,0.620165,0.981236,0.0493431,-0.117039,1.0,-0.0651501,-0.0803172,-2.77168
1456843505,-8.9153,-12.0164,0.622176,0.981236,0.0486412,-0.117191,1.0,-0.0587967,-0.0843517,-2.77208
1456853657,-8.9153,-12.0164,0.624159,0.981236,0.0479565,-0.117367,1.0,-0.050929,-0.0904301,-2.77265
1456863810,-8.9153,-12.0164,0.626216,0.981236,0.0473862,-0.117577,1.0,-0.0442535,-0.0928647,-2.77692
1456873977,-8.9153,-12.0164,0.62824,0.981236,0.0468235,-0.117794,1.0,-0.0392904,-0.0941927,-2.78229
1456884140,-8.9153,-12.0164,0.630353,0.981236,0.0462952,-0.118006,1.0,-0.0365647,-0.0942017,-2.78717
1456894340,-8.9153,-12.0164,0.632415,0.981236,0.0457096,-0.118172,1.0,-0.0420208,-0.0890057,-2.78957
1456904498,-8.9153,-12.0164,0.6379,0.981236,0.0454102,-0.117636,1.0,-0.0486523,-0.0813272,-2.80259
1456914650,-8.9153,-12.0164,0.640102,0.981236,0.044735,-0.117687,1.0,-0.05318,-0.0744948,-2.81943
1456924803,-8.9153,-12.0164,0.642357,0.981236,0.0440407,-0.117727,1.0,-0.05713,-0.074077,-2.82384
