timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
990464677,0,0.0,0.0,0,-5.36096,1.04841,1.43466,0.0,0.0,0.0,-0.0233477,0.0100222,-0.00459059,0.0,0.0,0.0,0.0,0.0,0.0,0.115985,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990469876,0,0.0,0.0,0,-5.36108,1.04846,1.43464,0.0,0.0,0.0,-0.0240029,0.0101485,-0.00474522,0.0,0.0,0.0,0.0,0.0,0.0,0.11599,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990474695,0,0.0,0.0,0,-5.36121,1.04851,1.43461,0.0,0.0,0.0,-0.0245182,0.0101966,-0.00505524,0.0,0.0,0.0,0.0,0.0,0.0,0.115995,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990479774,0,0.0,0.0,0,-5.36133,1.04856,1.43458,0.0,0.0,0.0,-0.0250687,0.0102823,-0.00526266,0.0,0.0,0.0,0.0,0.0,0.0,0.115994,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990484771,0,0.0,0.0,0,-5.36146,1.04861,1.43456,0.0,0.0,0.0,-0.0255865,0.0104275,-0.00547629,0.0,0.0,0.0,0.0,0.0,0.0,0.115994,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990489860,0,0.0,0.0,0,-5.36159,1.04867,1.43453,0.0,0.0,0.0,-0.0260046,0.0106773,-0.00566728,0.0,0.0,0.0,0.0,0.0,0.0,0.115999,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990494883,0,0.0,0.0,0,-5.36172,1.04872,1.4345,0.0,0.0,0.0,-0.0264412,0.0109077,-0.00591258,0.0,0.0,0.0,0.0,0.0,0.0,0.116001,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990499846,0,0.0,0.0,0,-5.36186,1.04878,1.43447,0.0,0.0,0.0,-0.0269521,0.0110945,-0.00611151,0.0,0.0,0.0,0.0,0.0,0.0,0.115998,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990509859,0,0.0,0.0,0,-5.35959,1.04732,1.43469,0.0,0.0,0.0,-0.0160028,0.00616498,-0.00359129,0.0,0.0,0.0,0.0,0.0,0.0,0.116067,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990514860,0,0.0,0.0,0,-5.35968,1.04735,1.43467,0.0,0.0,0.0,-0.0165999,0.00636468,-0.00378482,0.0,0.0,0.0,0.0,0.0,0.0,0.11607,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990519886,0,0.0,0.0,0,-5.35976,1.04738,1.43465,0.0,0.0,0.0,-0.0172305,0.00653506,-0.00404793,0.0,0.0,0.0,0.0,0.0,0.0,0.116072,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990524866,0,0.0,0.0,0,-5.35985,1.04742,1.43463,0.0,0.0,0.0,-0.0178069,0.00676099,-0.00427025,0.0,0.0,0.0,0.0,0.0,0.0,0.116072,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990529782,0,0.0,0.0,0,-5.35994,1.04745,1.43461,0.0,0.0,0.0,-0.0183346,0.00697092,-0.00458035,0.0,0.0,0.0,0.0,0.0,0.0,0.116069,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990534801,0,0.0,0.0,0,-5.36004,1.04749,1.43458,0.0,0.0,0.0,-0.0188618,0.00713966,-0.00494066,0.0,0.0,0.0,0.0,0.0,0.0,0.116063,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990539773,0,0.0,0.0,0,-5.36014,1.04753,1.43456,0.0,0.0,0.0,-0.0194153,0.0072707,-0.00522422,0.0,0.0,0.0,0.0,0.0,0.0,0.11606,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990544795,0,0.0,0.0,0,-5.36023,1.04756,1.43453,0.0,0.0,0.0,-0.019925,0.00750859,-0.00545234,0.0,0.0,0.0,0.0,0.0,0.0,0.116059,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990549964,0,0.0,0.0,0,-5.36034,1.0476,1.4345,0.0,0.0,0.0,-0.0204123,0.00773419,-0.00563722,0.0,0.0,0.0,0.0,0.0,0.0,0.116056,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990554961,0,0.0,0.0,0,-5.36044,1.04764,1.43447,0.0,0.0,0.0,-0.020948,0.00793006,-0.00581232,0.0,0.0,0.0,0.0,0.0,0.0,0.116056,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990559935,0,0.0,0.0,0,-5.36055,1.04768,1.43444,0.0,0.0,0.0,-0.0215489,0.00809238,-0.00607591,0.0,0.0,0.0,0.0,0.0,0.0,0.116058,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990564896,0,0.0,0.0,0,-5.36066,1.04772,1.43441,0.0,0.0,0.0,-0.0222404,0.00829788,-0.00643723,0.0,0.0,0.0,0.0,0.0,0.0,0.116061,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990570147,0,0.0,0.0,0,-5.36078,1.04777,1.43438,0.0,0.0,0.0,-0.0228343,0.00840533,-0.0066839,0.0,0.0,0.0,0.0,0.0,0.0,0.116058,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990574931,0,0.0,0.0,0,-5.36089,1.04781,1.43434,0.0,0.0,0.0,-0.0232754,0.00844233,-0.00696784,0.0,0.0,0.0,0.0,0.0,0.0,0.116055,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990580053,0,0.0,0.0,0,-5.36101,1.04785,1.43431,0.0,0.0,0.0,-0.0236697,0.00859939,-0.00713727,0.0,0.0,0.0,0.0,0.0,0.0,0.11606,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
